Office,Office Location,Bookshelves,Category,Title,Author,Publisher,Edition,Year,Quantity,Pages,Book No
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Chartered accounts act, 1949 and regulations 1964 (BARE ACT)",,,,2003,,,C8/12
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Chartered accounts act, 1949 and regulations 1964 (BARE ACT)",,,,2009,,,C8/13
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's circulars and clarification and company law,,,,1990,,,C9/1
"12, Old Post Office St.",Near High Court,LIB/3,Book,Circulars and clarification and company law,Bhargava and Bhargava,,,1992,,,C9/2
"12, Old Post Office St.",Near High Court,LIB/3,Book,Circulars and clarification and company law,Bhargava and Bhargava,,,1982,,,C9/3
"12, Old Post Office St.",Near High Court,LIB/3,Book,Circulars and clarification and company law,Bhargava and Bhargava,,,1987,,,C9/4
"12, Old Post Office St.",Near High Court,LIB/3,Book,Bharat'sCirculars and clarification and company law,K.R. Chandratre,,3rd,1996,,,C9/5
"12, Old Post Office St.",Near High Court,LIB/3,Book,2001 Millenium Edition circulars and clarification and company law,K.Sekhar,,1st,2001,,,C9/6
"12, Old Post Office St.",Near High Court,AKD/1,Book,The West Bengal civil acts,Pradyumna Sinha,,,2023,,"Vol.1,2",C10/1
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Bengal, Assam and Agra civil courts acts, 1887 (BARE ACT)",,,,2018,,,C/10/2
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Bengal, Assam and Agra civil courts acts, 1887 (BARE ACT)",,,,2021,,,C/10/3
"12, Old Post Office St.",Near High Court,LIB/3,Book,Nandi's civil ready referencer,,,2nd,1980,,,C10/4
"12, Old Post Office St.",Near High Court,LIB/3,Book,West Bengal civil rules and orders,,,,,,,C10/5
"12, Old Post Office St.",Near High Court,RG/1,Book,"The Bengal, Assam and Agra civil courts acts, 1887 (BARE ACT)",,,,2016,,,C10/6
"12, Old Post Office St.",Near High Court,RG/1,Book,Dutta civil rules and orders of Calcutta High Court,,,,2019,,,C10/7
"12, Old Post Office St.",Near High Court,RG/1,Book,Central civil acts (universal),,,,,,,C10/8
"12, Old Post Office St.",Near High Court,AKD/14,Book,Manual of Karnataka civil courts (BARE ACTS),,,,1969,,,C10/9
"12, Old Post Office St.",Near High Court,AKD/1,Book,The Code of civil procedure,AN Saha,,7th,2010,,"Vol.1,2,3",C11/1
"12, Old Post Office St.",Near High Court,AKD/1,Book,The Code of civil procedure,D.F. Mulla,,19th,2017,,"Vol.1,2,3",C11/2
"12, Old Post Office St.",Near High Court,SG/3,Book,"Code of civil procedure Amendment act, 1999 AND 2002 (BARE ACT)",,,,2007,,,C11/3
"12, Old Post Office St.",Near High Court,SG/3,Book,Code of civil procedure 1908 (BARE ACT),,,,2023,,,C11/4
"12, Old Post Office St.",Near High Court,ST/3,Book,Justice R.P. Sethi code of civil procedure,,,,2002,,,C11/5
"12, Old Post Office St.",Near High Court,ST/3,Book,The Code of civil procedure,D.F. Mulla,,18th,2011,,"Vol.1,2,3",C11/6
"12, Old Post Office St.",Near High Court,LIB/3,Book,Sarkar on civil procedure,Prabhas C. Sarkar,,7th,1986,,"Vol.1,2",C11/7
"12, Old Post Office St.",Near High Court,LIB/3,Book,The Code of civil procedure,V.R. Manohar,,10th,1977,,"Vol.1,2,3,4,5",C11/8
"12, Old Post Office St.",Near High Court,LIB/3,Book,Mulla civil procedure code,P.M. Bakshi,,15th,1995,,Vol.2,C11/9
"12, Old Post Office St.",Near High Court,LIB/3,Book,"Sarkar's commentary on the civil procedure code, 1908",S.C. Sarkar,,4th,2010,,Vol.2,C11/10
"12, Old Post Office St.",Near High Court,LIB/3,Book,The Code of civil procedure 1908 amendment 2002,,,,2003,,,C11/11
"12, Old Post Office St.",Near High Court,DM/1,Book,The Code of civil procedure 1908 (BARE ACT),,,,,,,C11/12
"12, Old Post Office St.",Near High Court,DM/1,Book,The Code of civil procedure 1908 (BARE ACT),,,,2022,,,C11/13
"12, Old Post Office St.",Near High Court,DM/1,Book,Datta civil rules and orders (BARE ACT),,,,,,,C11/14
"12, Old Post Office St.",Near High Court,RG/1,Book,The code of civil procedure 1908 (BARE ACT),,,,2016,,,C11/15
"12, Old Post Office St.",Near High Court,Top Flr.,Book,"Sarkar civil procedure code act, 1908",,,11th,2006,,"Vol.1,2",C11/16
"12, Old Post Office St.",Near High Court,Top Flr.,Book,Sarkar civil procedure code,,,41st,2010,,Vol.1,C11/17
"12, Old Post Office St.",Near High Court,ST/3,Book,Code of civil procedure (BARE ACT),,,,2013,,,C11/18
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The code of civil procedure 1908, amendment 1999 (BARE ACT)",,,,,,,C11/19
"12, Old Post Office St.",Near High Court,AKD/14,Book,The code of civil procedure 1908 (BARE ACT),,,,2023,,,C11/20
"12, Old Post Office St.",Near High Court,AKD/1,Book,Ratanlal and Dhirajlal commentary on the code of criminal procedure,Y.V.Chandrachud,,18th,2006,,"Vol.1,2",C12/1
"12, Old Post Office St.",Near High Court,AKD/1,Book,Ratanlal and Dhirajlal commentary on the code of criminal procedure,B.M. Prasad,,20th,2016,,,C12/2
"12, Old Post Office St.",Near High Court,AKD/1,Book,Mookherjee criminal rules and orders of the High Court at Calcutta,A. Mookherjee,,,2017,,"Vol.1,2",C12/3
"12, Old Post Office St.",Near High Court,AKD/1,Book,Criminal court hand book,P.L.MALIK,,18th,1992,,,C12/4
"12, Old Post Office St.",Near High Court,AKD/1,Book,Criminal manual,M.R. Mallick,,,2016,,,C12/5
"12, Old Post Office St.",Near High Court,AKD/1,Book,"Taxmann's criminal major acts anti rape law amendment act,2013 C12/6",,,,,,,C12/6
"12, Old Post Office St.",Near High Court,DD/1,Book,Justice Khastgir criminal manual,,,,2012,2,,C12/7
"12, Old Post Office St.",Near High Court,DD/1,Book,V.K. Dewan cruelty and offences against husbands,,,3rd,2013,,,C12/8
"12, Old Post Office St.",Near High Court,SG/3,Book,"The Code of criminal procedure 1973 (BARE ACT) amendment act,2008",,,,2010,,,C12/9
"12, Old Post Office St.",Near High Court,SG/3,Book,Taxmann's criminal manual,,,,2021,,,C12/10
"12, Old Post Office St.",Near High Court,ST/3,Book,Ratanlal and Dhirajlal the code criminal procedure,,,15th,1997,,,C12/11
"12, Old Post Office St.",Near High Court,LIB/3,Book,Sarkar on criminal minor acts,Brabhash C. Sarkar,,5th,1995,,"Vol.1,2",C12/12
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's code of criminal procedure (BARE ACT),,,,2005,,,C12/13
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's code of criminal procedure (BARE ACT),,,,2006,2,,C12/14
"12, Old Post Office St.",Near High Court,LIB/3,Book,Lecture on criminal procedure,R.V. Kelkar,,3rd,2004,,,C12/15
"12, Old Post Office St.",Near High Court,LIB/3,Book,Sarkar on criminal procedure,S.C. Sarkar,,4th,1974,,Vol.1,C12/16
"12, Old Post Office St.",Near High Court,LIB/3,Book,P.L. Malik criminal court handbook (three major acts),,,17th,1986,,,C12/17
